ESTABLECIMIENTO,CALLE No.,COLONIA,"CÓDIGO
POSTAL",LOCALIDAD,ENTIDAD,No. LICENCIA,"FECHA
EXPEDICIÓN",LÍNEAS AUTORIZADAS,"ESTATUS DE
LA LICENCIA",ESTATUS DEL ESTABLECIMIENTO,OBSERVACIONES,LINEAS CERTIFICADAS,"NO. DE OFICIO DE
CERTIFICACION",FECHA DE EMISION,"FECHA DE
VENCIMIENTO","ESTATUS DE LA
CERTIFICACIÓN"
"Laboratorios Kener, S.A. de C.V.","KM 52.8 Carr. Naucalpan- Toluca. Eje 1 Norte Mz. C, Lt. 3",Ampliación Parque Industrial Toluca 2000,50200,Toluca,México,15106020005,08-abr.-20,"SÓLIDOS ORALES: Tabletas o Comprimidos,  Tabletas recubiertas, y  Cápsulas de gelatina dura. ESTÉRILES- CEFALOSPORÍNICOS: Polvo para solución inyectable en frasco ámpula, Estériles: Solución Inyectable en ampolleta, Solución Inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión Inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,"Sólidos: Tabletas o Comprimidos,
Tabletas recuebiertas, cápsulas de geltina dura. Estériles: Solución inyectable en ampolleta, solución inyectable en frasco ámpula, suspensión inyectable en ampolleta, suspensión inyectableen frasco ámpula, liofilizado para para solución inyectable en frasco ámpula, liofilizado para suspensión inyectable en frasco ámpula.
Estériles Cefalosporinicos",213300CI110263,19-nov.-21,21-jun.-23,Vigente
"Laboratorios Keton de México, S.A. de C.V.",Lago Garda No. 100,Anahuac,11320,Miguel Hidalgo,D.F.,09011020020,01-nov.-04,"SÓLIDOS ORALES: Tabletas, Comprimidos, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas.",Vigente,Suspensión de trabajos y servicios.,"Con fundamento en los Artículos 404, 412 y 414 de la Ley General de Salud.",N/A,N/A,N/A,N/A,N/A
"Laboratorios Le Roy, S.A. de C.V.",Viaducto No. 569,Granjas México,08400,Iztacalco,D.F.,09008020005,01-nov.-04,LÍQUIDOS NO ORALES: Solución.,Revocada,Suspensión definitiva desde el 19 de febrero del 2019,Con fundamento en el  Artículo 380 Fracción XI de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Laboratorios Liomont, S.A. de C.V.","Cerrada Acueducto del Alto Lerma No. 9, Int. 16",Ortiz Rubio (Jalapa),52743,Ocoyoacac,México,15062020007,10-mar.-21,"ESTÉRILES BIOTECNOLÓGICOS - VACUNAS: Solución
Inyectable en Frasco Ámpula; ESTÉRILES: Liofilizado para solución inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,Estériles - Biotecnológicos: Vacuna AZD1222,CAS/10745/2021,11-jun.-21,11-dic.-23,Vigente
"Laboratorios Liomont, S.A. de C.V.",Calle Adolfo López Mateos No. 68,Cuajimalpa,05000,Cuajimalpa,D.F.,09005020001,30-mar.-22,"SÓLIDOS: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura, Granulado, Polvo; LÍQUIDOS: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorio, Crema, Ungüento, Gel; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en jeringa, Suspensión inyectable en jeringa; Solución inyectable en frasco ampula, Liofilizado para solución inyectable en frasco ámpula. BIOTECNOLOGICOS: Biofármaco.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisólidos, Estériles.",223300516A1392,14-dic.-22,06-jul.-23,Vigente
"Laboratorios Manuell, S.A.",Jarcieria No. 237,Morelos,15270,Venustiano Carranza,D.F.,09015020002,19-nov.-02,"SÓLIDOS ORALES: Tabletas; LÍQUIDOS ORALES:
Solución, Suspensión; LÍQUIDOS NO ORALES: Solución; SEMISÓLIDOS: Ungüento.",Vigente,Suspensión temporal de las líneas de sólidos y semisólidos del 23 de marzo de 2022 al 23 de marzo de 2027,Con fundamento en el Artículo 202 de la Ley General de Salud.,"Sólidos, Líquidos orales, Líquidos no orales, Semisólidos.",COFEPRIS-CAS-SELS-1076- 2022,18-ene.-22,26-jul.-22,Vencido
"Laboratorios Natutech, S.A. de C.V.",Poniente 148 No. 519,Lindavista Vallejo,07369,Gustavo A. Madero,Ciudad de México,09007020004,07-may.-18,"SÓLIDOS: Tabletas o comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura; SOLIDOS HERBOLARIOS: Capsulas de gelatina dura.",Vigente,Vigente,Ninguna,"Sólidos, Sólidos-Herbolarios",223300516A0814,13-jul.-22,06-feb.-23,Vencido
"Laboratorios Orizaba, S.A.",Oriente 4 Numero 1459,Centro,94300,Orizaba,Veracruz,30118030001,16-may.-17,LIQUIDOS HOMEOPÁTICOS: Solución.,Vigente,Vigente,Ninguna,Líquidos homeopáticos.,CAS/3/OR/3225/2017,13-mar.-17,29-mar.-18,Vencido
"Laboratorios Parggon, S.A. de C.V.",Av. Vallarta No. 7000,San Juan de Ocotán,45019,Zapopan,Jalisco,14120020006,18-oct.-01,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Crema; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en frasco ámpula, Solución oftálmica.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Laboratorios Pisa, S.A. de C.V.",Calle 6 No. 2819,Zona Industrial,44940,Guadalajara,Jalisco,14039020006,20-mar.-18,"SÓLIDOS HORMONALES: Tabletas, Tabletas recubiertas; ESTÉRILES HORMONALES: Suspensión inyectable en frasco ámpula, Solución inyectable en ampolleta, Solución inyectable en frasco ámpula, Polvo para suspensión inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula, Solución oftálmica, Suspensión oftálmica, Suspensión ótica, Suspensión nasal.",Vigente,Vigente,Ninguna,"Sólidos orales Hormonales, Estériles Hormonales.",143300IT011051,15-oct.-14,31-jul.-16,Vencido
"Laboratorios Pisa, S.A. de C.V.",Calle 7 No. 1308,Zona Industrial,44940,Guadalajara,Jalisco,14039020010,09-jun.-21,"SÓLIDOS: Polvo, Tabletas efervescentes; LÍQUIDOS: Solución, Suspensión, Jarabe; ESTÉRILES:  Solución inyectable en ampolleta de vidrio; Solución inyectable en ampolleta de plástico; Solución inyectable en frasco ampula; Parenterales de gran volumen solución en frasco de vidrio; Suspensión inyectable en frasco ámpula; Emulsión inyectable en ampolleta; Solución oftálmica; Suspensión oftálmica; Solución ótica; Solución inyectable en cartucho; Polvo para solución inyectable en frasco ámpula; Polvo para suspensión inyectable en frasco ámpula; Suspensión estéril en frasco ámpula; Solución inyectable en jeringa prellenada;  Suspensión inyectable en jeringa
prellenada.",Vigente,"Suspensión temporal de actividades de la linea de ampolletas de vidrio desde  el 01 de enero de 2022 al 30 de
abril del 2023",Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos, Líquidos, Estériles.",233300516A0066,31-ene.-23,29-sep.-23,Vigente
"Laboratorios Pisa, S.A. de C.V.",Calle 6 No. 2924,Zona Industrial,44940,Guadalajara,Jalisco,14039020009,06-dic.-21,"SÓLIDOS - BETALACTÁMICOS: Tabletas o
comprimidos, Tabletas recubiertas, Cápsula de gelatina dura, Polvo. ESTÉRILES BETALACTÁMICOS: Polvo para suspensión inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula.",Vigente,"Suspensión temporal de actividades del 28 de julio de 2021 al 28 de noviembre de
2021",Con fundamento en el Artículo 202 de la Ley General de Salud,Estériles Betalactámicos.,173501EL530136,30-nov.-17,28-oct.-18,Vencido
"Laboratorios Pisa, S.A. de C.V.",Calle 6 No. 2750,Zona Industrial,44940,Guadalajara,Jalisco,14039020016,05-ene.-12,"ESTÉRILES BIOTECNOLÓGICOS: Suspensión
inyectable en frasco ámpula, Solución inyectable en frasco ámpula, Solución inyectable en jeringa, Suspensión inyectable en jeringa, Solución inyectable en cartucho, Suspensión inyectable en cartucho, Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión inyectable en frasco ámpula, Liofilizado en jeringa o cartucho.",Vigente,Vigente,Ninguna,Estériles Biotecnológicos.,CAS/SELS/18271/2020,16-dic.-20,16-jun.-23,Vigente
"Laboratorios Pisa, S.A. de C.V.",Calle 6 No. 2676,Zona Industrial,44940,Guadalajara,Jalisco,14039020004,28-feb.-11,"SÓLIDOS ORALES CEFALOSPORÍNICOS: Cápsulas de
gelatina dura, Polvo para reconstituir; ESTÉRILES CEFALOSPORÍNICOS: Polvo para solución inyectable en frasco ámpula.",Vigente,"Suspensión temporal de
actividades del 10 de enero de 2020 al 30 de junio de 2022 (Línea 3 de inyectables
Cefalosporínicos)",Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos Orales-Cefalosporínicos, Estériles - Cefalosporínicos.",223300EL531784,07-mar.-23,07-sep.-25,Vigente
"Laboratorios Pisa, S.A. de C.V.",Av. Miguel Angel de Quevedo No. 555,Romero de Terreros,04310,Coyoacan,D.F.,09004020024,04-feb.-14,"SÓLIDOS ORALES: Tabletas, Tabletas efervescentes y/o solubles, Tableta dispersable, Tabletas masticables, Comprimidos; Cápsulas de gelatina
dura, Granulado, Polvo para reconstituir, Grageas; ESTÉRILES: Polvo para suspensión inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión  inyectable en frasco ámpula; SÓLIDOS ORALES INMUNOSUPRESORES: Tabletas, Cápsulas de gelatina dura; LÍQUIDOS ORALES INMUNOSUPRESORES: Solución; SÓLIDOS ORALES
ONCOLÓGICOS: Tabletas, Cápsulas de gelatina dura; SÓLIDOS ORALES HERBOLARIOS: Cápsulas de
gelatina dura; ESTÉRILES ONCOLÓGICOS: Solución inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula.",Vigente,Suspensión temporal de actividades del 08 de enero de 2021 al 17 de enero de 2024.,Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos orales, Estériles, Sólidos orales Inmunosupresores, Líquidos orales Inmunosupresores, Sólidos orales Oncológicos, Sólidos orales Herbolarios, Estériles Oncológicos.",CAS/SELS/13435/2018,***,"OCBPF cancelado con escrito 203300EL531073 de
fecha 24/07/2020",Cancelado
"Laboratorios Pisa, S.A. de C.V.","Carretera San Isidro Mazatepec No. 7000 Edificio A, B, C y E.",Santa Cruz de las Flores,45640,Tlajomulco de Zúñiga,Jalisco,14097020004,30-nov.-20,"SÓLIDOS: Tabletas, Tabletas recubiertas, cápsulas de
gelatina dura; LÍQUIDOS: Solución; ESTÉRILES: Solucion inyectable en ampolleta de plástico; Solución inyectable en bolsa y/o frasco de PVC, polipropileno y/o polietileno,  Solución inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula, Suspensión inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Estériles.",233300516A0240,13-mar.-23,30-oct.-23,Vigente
"Laboratorios Pisa, S.A. de C.V.",Carretera San Isidro Mazatepec No. 7000 Edificio I,Santa Cruz de las Flores,45640,Tlajomulco de Zúñiga,Jalisco,14097020007,18-dic.-20,"Sólidos oncologicos: Tabletas o Comprimidos, tabletas Recubiertas, Cápsulas de Gelatina Dura. Sólidos inmunosupresores: Tabletas o comprimidos, tabletas recubiertas, Cápsulas de Gelatina Dura.
Liquídos Inmunosupresores: Solución.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Laboratorios Pisa, S.A. de C.V.",Carretera San Isidro Mazatepec No. 7000 Edificio H,Santa Cruz de las Flores,45640,Tlajomulco de Zúñiga,Jalisco,14097020006,22-mar.-21,"ESTÉRILES-BETALACTÁMICOS: Polvo para
suspensión inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,Estériles Betalactámicos.,223300516A1335,18-nov.-22,30-may.-23,Vigente
"Laboratorios Pizzard, S.A. de C.V.",Km. 22.5 Carr. Guadalajara- Morelia,N/I,45640,Tlajomulco de Zúñiga,Jalisco,14097020003,17-may.-18,"SÓLIDOS: Cápsulas de gelatina blanda; ESTÉRILES: Solución oftálmica, Solución ótica, Solución nasal.",Vigente,Vigente,Ninguna,"Sólidos, Estériles",203300EL530442,03-mar.-20,15-dic.-20,Vencido
"Laboratorios Química Son's, S.A. de C.V.",Blvd. de los Reyes No. 6217,Junta Aux. de San Bernardino Tlaxcalancingo,72820,San Andrés Cholula,Puebla,21119020001,24-jul.-20,"SÓLIDOS ORALES: Tabletas o Comprimidos, Cápsulas de gelatina dura, Polvo; LÍQUIDOS: Solución, Suspensión, Elixir, Jarabe, Emulsión; SEMISÓLIDOS: Crema, Ungüento, Gel, Óvulo, Pomada, Supositorios; ESTÉRILES: Solución inyectable en ampolleta, Solución inyectable en frasco ámpula, Polvo para suspensión inyectable en frasco ámpula, Suspención inyectable en ampolleta, Solución oftálmica, Suspensión oftálmica, Solución ótica, Suspensión ótica, Colirio; SÓLIDOS ORALES BETALACTÁMICOS:
Tabletas, Cápsulas de gelatina dura, Polvo; ESTERILES BETALACTÁMICOS: Polvo para suspensión inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula.",Vigente,Vigente,Ninguna,"Sólidos Orales, Líquidos Orales, Líquidos No Orales, Semisólidos, Estériles, Sólidos Orales- Betalactámicos, Estériles- Betalactámicos.",223300CI110149,24-may.-22,14-jul.-24,Vigente
"Laboratorios Química Son's, S.A. de C.V.",23 Poniente No. 2302-A,Volcanes,72410,Puebla,Puebla,21114020002,19-may.-21,"SÓLIDOS ORALES HORMONALES: Tabletas o
comprimidos, Cápsulas de gelatina dura; SEMISÓLIDOS HORMONALES: Crema, Ungüento, Gel, Óvulo; ESTÉRILES HORMONALES: Suspensión inyectable en ampolleta,  Solución inyectable en ampolleta.",Vigente,Vigente,Ninguna,"Sólidos Hormonales, Semisólidos Hormonales, Estériles Hormonales.",213300CI110044,09-mar.-21,27-jul.-23,Vigente
"Laboratorios Quimpharma, S.A. de C.V.",Pino No. 343-46-47,Sta. Ma. la Ribera,06400,Cuauhtémoc,D.F.,09006020003,01-abr.-15,"SÓLIDOS ORALES: Tabletas, Tabletas efervescentes y/o solubles, Cápsulas de gelatina dura, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SÓLIDOS NO ORALES: Polvo tópico; LÍQUIDOS NO
ORALES: Solución, Suspensión.",Vigente,Vigente,Ninguna,"Sólidos orales, Líquidos orales, Sólidos No orales, Líquidos no orales.",213300EL531958,17-ene.-22,04-dic.-23,Vigente
"Laboratorios Russek, S.de R.L. de C.V.",Calzada de las Armas No. 110,Fraccionamiento Industrial las Armas,54080,Tlalnepantla de Baz,México,15104020002,21-jun.-16,"SÓLIDOS: Tabletas o comprimidos, tabletas recubiertas, polvos; LÍQUIDOS: Solución, Suspensión, Elixir, Jarabe, Emulsión; SEMISÓLIDOS: Supositorios, Cremas, Ungüentos, Gel, Óvulo, Pomada, Pasta; ESTÉRILES: Solución Inyectable en ampolleta.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisólidos, Estériles.",223300EL531326,21-sep.-22,21-mar.-25,Vigente
"Laboratorios Salus, S.A. de C.V.",Km. 22.5 Carretera Guadalajara-Morelia,N/I,45640,Tlajomulco de Zúñiga,Jalisco,14097020002,02-may.-22,"LÍQUIDOS: Solución, Suspensión, Jarabe, Emulsión; SEMISÓLIDOS: Crema, Ungüento, Pasta; ESTÉRILES CEFALOSPORÍNICOS: Polvo para solución Inyectable en frasco ampula; AEROSOLES: Aerosol.",Vigente,Vigente,Ninguna,"Líquidos, Semisólidos, Aerosoles, Estériles Cefalosporínicos.",223300CI110153,13-jul.-22,16-sep.-24,Vigente
"Laboratorios Schoen, S.A. de C.V.",Río Tizapan No. 1599,Atlas,44767,Guadalajara,Jalisco,14039020017,31-oct.-13,"SÓLIDOS ORALES: Tabletas, Tabletas recubiertas; SEMISÓLIDOS: Crema, Ungüento, Gel, Pasta.",Vigente,Vigente,Ninguna,"Sólidos orales, Semisóildos",223300CT110126,02-feb.-23,02-ago.-25,Vigente
"Laboratorios Senosiain, S.A. de C.V.",Camino a San Luis Rey No. 221,Ex-Hacienda Santa Rita,38137,Celaya,Guanajuato,11007020001,05-ago.-15,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Polvo para reconstituir; SÓLIDOS ORALES- CEFALOSPORÍNICOS: Cápsulas de gelatina dura, Polvo para reconstituir; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorio, Crema, Ungüento, Gel; ESTÉRILES: Suspensión inyectable en frasco ámpula, Solución inyectable en ámpolleta, Solución inyectable en frasco frasco ámpula, Polvo para solución inyectable en frasco ámpula, Parenterales de gran volumen solución
inyectable.",Vigente,Vigente,Ninguna,"Sólidos orales, Sólidos orales- Cefalosporínicos, Líquidos orales y Semisólidos.",COFEPRIS-CAS-SELS- 16302-2022,27-oct.-22,27-abr.-25,Vigente
"Laboratorios Servet, S.A. de C.V.",Calz. Ermita Iztapalapa No. 436,Mexicaltzingo,09080,Iztapalapa,Ciudad de México,09009020002,10-abr.-17,"SÓLIDOS ORALES: Tabletas, Tabletas efervescentes y/o solubles, Tabletas masticables, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas; SÓLIDOS NO ORALES: Polvo tópico, Tabletas vaginales; ESTÉRILES- BETALACTÁMICOS: Polvo para reconstituir en frasco ámpula.",Vigente,Vigente,Ninguna,"Sólidos orales, Sólidos No orales, Estériles-Betalactámicos.",CAS/SELS/15976/2020,13-nov.-20,13-may.-23,Vigente
"Laboratorios Shela, S.A. de C.V.",Av. Cafetales No. 1695 5to. Piso,Hacienda de Coyoacan,04970,Coyoacan,D.F.,09004040001,09-sep.-11,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina dura, Polvo para reconstituir, Grageas.",Vigente,Vigente,Ninguna,N/A,N/A,N/A,N/A,N/A
"Laboratorios Silanes, S.A. de C.V.",Amores No. 1304,Del Valle,03100,Benito Juárez,D.F.,09003020022,01-sep.-05,"SÓLIDOS ORALES: Tabletas, Tabletas de liberación prolongada, Cápsulas de gelatina dura, Grageas, Grageas de liberación prolongada; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe; ESTÉRILES: Parenterales de pequeño volumen solución inyectable en ampolleta de vidrio, Parenterales de pequeño volumen solución inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula.",Vigente,suspensión de actividades del 04 de noviembre de 2019 al 04 de noviembre de 2020,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Laboratorios Silanes, S.A. de C.V.","Eje 3 Norte esq. Prolongación 6 Norte No. 200, Km 52.8",Parque Industrial Toluca 2000,50200,Toluca,México,15106020014,24-ene.-18,"SÓLIDOS: Tabletas o Comprimidos, Tabletas recubiertas,Cápsulas de gelatina dura; LÍQUIDOS: Solución, Suspensión, Jarabe, Emulsión; SEMISÓLIDOS: Crema: ESTÉRILES:  Suspensión inyectable en ampolleta, Suspensión inyectable en frasco ampula,  Parenterales de pequeño volumen solución inyectable en ampolleta de vidrio, Parenterales de pequeño volumen solución inyectable en frasco ámpula; ESTERILES- BIOLÓGICOS (SUEROS): Solución inyectable en frasco ámpula, Suspensión inyectable en frasco ámpula, Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión inyectable en frasco ampula. BIOFÁRMACOS.",Vigente,Vigente,Ninguna,"Sólidos; Semisólidos; Estériles; Biofármacos, Estériles- Biológicos;líquidos",223300516A0817,14-jul.-22,16-feb.-23,Vencido
"Laboratorios Solfran, S.A.",Altos Hornos No. 2721,Fracc. Industrial el Álamo,45560,Tlaquepaque,Jalisco,14098020003,27-ene.-22,"SÓLIDOS - ALOPÁTICOS Y HERBOLARIOS: Tabletas o
comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura, Polvo, Granulado; LÍQUIDOS - ALOPÁTICOS Y HERBOLARIOS: Jarabe, Solución, Suspensión; SEMISÓLIDOS: Crema, Ungüento, Gel.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos, Semisólidos, Sólidos  betalactámicos.",223300EL531789,26-oct.-22,03-mar.-23,Vencido
"Laboratorios Sophia, S.A. de C.V.",Av. Paseo del Norte No. 5255,Guadalajara Technology Park,45010,Zapopan,Jalisco,14120020017,12-may.-22,"ESTÉRILES: Solución inyectable en jeringa, Ungüento oftálmico, Solución oftálmica, Solución ótica, Solución nasal, Gel oftálmico, Emulsión oftálmica, Herbolario: Solución oftálmica, Homeopáticos; Solución oftálmica; ESTÉRILES HORMONALES: Solución oftálmica, Suspensión oftálmica, Emulsión oftálmica, Solución ótica, Solución Nasal; ESTÉRILES INMUNOSUPRESORES: Solución oftálmica.",Vigente,Vigente,Ninguna,"Estériles, Estériles Hormonales, Estériles Inmunosupresores.",COFEPRIS-CAS-SELS-5539- 2022,12-may.-22,18-oct.-24,Vigente
"Laboratorios Sydenham, S.A. de C.V.",Prol. Moctezuma No. 58,Romero de Terreros,04310,Coyoacan,D.F.,09004020017,26-may.-00,"SÓLIDOS ORALES: Tabletas, Grageas; LÍQUIDOS ORALES: Solución, Suspensión, Jarabe.",Vigente,Suspensión temporal del 23  de septiembre de 2016 al 23 de septiembre de 2017,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Laboratorios Sydenham, S.A. de
C.V.",Calle de la Rosa No. 38-B,10 de Mayo,77270,Puebla,Puebla,21114020005,03-sep.-21,"SÓLIDOS ORALES: Tabletas, Cápsulas de gelatina
dura.",Vigente,Vigente,Ninguna,Sólidos Orales.,213300CT110419,07-ene.-22,30-may.-22,Vencido
"Laboratorios Tocogino, S.A. de C.V.",Chihuahua No. 185,Roma,06700,Cuauhtemoc,D.F.,09006020005,28-may.-13,"SEMISÓLIDOS: Crema, Pomada, Gel, Supositorios, Óvulos.",Vigente,Vigente,Ninguna,Semisólidos,CAS/3/OR/7253/2016,04-ago.-16,12-ago.-18,Vencido
"Laboratorios Valdecasas, S.A.",Av. Insurgentes Sur No. 4058,Tlalpan,14000,Tlalpan,Ciudad de México,09014020011,25-ago.-17,"SÓLIDOS: Tabletas o Comprimidos; LÍQUIDOS: Solución, Suspensión, Jarabe.",Vigente,Vigente,Ninguna,"Sólidos, Líquidos.",173300ER020138,25-ago.-17,21-jul.-19,Vencido
"Laboratorios Vanquish, S.A. de C.V.",Calle 9 Este No. 235 PB y 24,Civac,62500,Jiutepec,Morelos,17011020010,07-ago.-13,"SÓLIDOS ORALES: Tabletas, Tabletas efervescentes
y/o solubles, Tabletas de liberación prolongada,
Comprimidos, Comprimidos efervescentes, Grageas, Grageas de liberación prolongada.",Vigente,Vigente,Ninguna,Sólidos orales.,213300516A0549,28-may.-21,25-jun.-22,Vencido
"Laboratorios Zafiro, S.A. de C.V.",Circunvalación Norte No. 56,Las Fuentes,45070,Zapopan,Jalisco,14120020014,11-jul.-12,"ESTÉRILES: Parenterales de pequeño volumen solución inyectable en ampolleta de vidrio, Emulsión inyectable en ampolleta de vidrio.",Vigente,"Suspensión de actividades del 02 de julio de 2020 al 02 de
julio de 2021",Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Laboratorios Zerboni, S.A.",Anáhuac No. 147,El Mirador  Ex Hacienda de Coapa,04950,Coyoacan,Ciudad de México,09004020026,10-jul.-12,"SÓLIDOS ORALES: Tabletas, Tabletas efervescentes
y/o solubles, Tabletas de liberación prolongada, Tabletas masticables, Comprimidos, Comprimidos efervescentes, Cápsulas de gelatina dura, Granulado,
Polvo para reconstituir, Grageas, Grageas de liberación prolongada; LÍQUIDOS ORALES: Solución, Suspensión, Elixir, Jarabe, Emulsión; SEMISÓLIDOS: Supositorios, Crema, Ungüento, Gel, Pomada; ESTÉRILES: Solución inyectable de frasco ámpula, Solución inyectable en jeringa, Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión inyectable em frasco ámpula, Liofilizado para solución inyectable en ampolleta, Liofilizado
para suspensión inyectable en ampolleta, Solución",Vigente,Suspensión de actividades a partir del 19 de octubre de 2020.,Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos orales, Líquidos orales, Sólidos orales Herbolarios, Líquidos orales Herbolarios.",193300ER020097,04-jul.-19,07-jun.-21,Vencido
"Laboratorios Zeyco, S.A. de C.V.","Camino a Santa Ana
Tepetitlán No. 2230-C",Santa Ana Tepetitlán,45230,Zapopan,Jalisco,14120020007,16-jun.-16,"LIQUIDOS: Solución; SEMISÓLIDOS: Gel, pasta;
ESTÉRILES: Solución inyectable en cartucho.",Vigente,Vigente,Ninguna,"Líquidos, Semisólidos, Estériles.",233300516A0161,13-feb.-23,02-sep.-23,Vigente
"Lakeside de México, S.A. de C.V.",Via Isidro Fabela Nte. No. 1536,Parque Industrial,50030,Toluca,Edo. de México,15106020001,25-feb-2009,"SÓLIDOS ORALES BETALACTÁMICOS: Tabletas,
Cápsulas de gelatina dura, Polvo para reconstituir; ESTÉRILES BETALACTÁMICOS: Polvo para suspensión inyectable en frasco ámpula, Polvo para solución inyectable en frasco ámpula, Parenterales de pequeño volumen solución inyectable en ampolleta de vidrio, Parenterales de pequeño volumen solución inyectable en ampolleta de plástico.",Vigente,Suspendido desde 2010,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
"Landsteiner Scientific, S.A. de C.V.",Calle 6 Norte Lt. 14 Manzana H.,Parque Industrial Toluca 2000,50200,Toluca,México,15106020009,27-oct.-22,"SÓLIDOS  INMUNOSUPRESORES: Tabletas o
Comprimidos, Tabletas recubiertas, Cápsulas de gelatina dura, Pastillas; LÍQUIDOS INMUNOSUPRESORES: Solución, Suspensión, Elixir, Jarabe, Emulsión; SEMISÓLIDOS: Supositorios, Crema, Ungüento, Gel, Pomada. Herbolarios: Crema; ESTÉRILES: Solución inyectable en frasco ámpula, Solución inyectable en jeringa, Liofilizado para solución inyectable en frasco ámpula, Liofilizado para suspensión inyectable en frasco ámpula, Solución
Inyectable en cartucho.",Vigente,Suspensión de actividades linea de liofilizados desde el 02 feb-2021 al 02-feb-2025,Con fundamento en el Artículo 202 de la Ley General de Salud,"Sólidos inmunosupresores, Líquidos inmunosupresores, Semisólidos, Estériles",223300516A1488,09-ene.-23,12-jul.-23,Vigente
"Landsteiner Scientific, S.A. de C.V.","Prolongación 4 Norte No. 234, Manzana F, Lote 8.",Parque Industrial Toluca 2000,50233,Toluca,México,15106020019,16-ene.-19,"SÓLIDOS: Tabletas o Comprimidos, Tabletas Recubiertas, Cápsulas de Gelatina dura; SEMISÓLIDOS: Crema, Ungüento, Pomada.",Vigente,Vigente,Ninguna,Sólidos.,213300EL530104,25-mar.-21,25-sep.-23,Vigente
"Lefarma, S.A. de C.V.",Calz. Norte No. 5,Ciudad Granja,45010,Zapopan,Jalisco,14120020020,08-may.-15,"LÍQUIDOS ORALES HERBOLARIOS: Solución,
Suspensión, Elixir, Emulsión; LÍQUIDOS NO ORALES HERBOLARIOS: Emulsión, Solución, Loción.",Vigente,Vigente,Ninguna,"Líquidos Orales Herbolarios, Líquidos no orales Herbolarios.",223300EL530806,09-ago.-22,09-feb.-25,Vigente
"Legas y Asaz Farmacéutica, S.A. de C.V.",Querétaro No. 131,Roma,06700,Cuauhtemoc,Ciudad de México,09006020004,02-mar.-17,"LÍQUIDOS: Solución, Suspensión, Jarabe; SEMISÓLIDOS: Supositorio, Óvulo.",Vigente,Suspensión temporal de actividades  del 28 de marzo de 2023 al 28 de marzo de 2025,Con fundamento en el Artículo 202 de la Ley General de Salud,N/A,N/A,N/A,N/A,N/A
